date,open,high,low,close,volume
2017-01-03,115.8,116.33,114.76,116.15,28781865
2017-01-04,115.85,116.51,115.75,116.02,21118116
2017-01-05,115.92,116.86,115.81,116.61,22193587
2017-01-06,116.78,118.16,116.47,117.91,31751900
2017-01-09,117.95,119.43,117.94,118.99,33561948
2017-01-10,118.77,119.38,118.3,119.11,24462051
2017-01-11,118.74,119.93,118.6,119.75,27588593
2017-01-12,118.9,119.3,118.21,119.25,27086220
2017-01-13,119.11,119.62,118.81,119.04,26111948
2017-01-17,118.34,120.24,118.22,120.0,34439843
2017-01-18,120.0,120.5,119.71,119.99,23712961
2017-01-19,119.4,120.09,119.37,119.78,25597291
2017-01-20,120.45,120.45,119.73,120.0,32597892
2017-01-23,120.0,120.81,119.77,120.08,22050218
2017-01-24,119.55,120.1,119.5,119.97,23211038
2017-01-25,120.42,122.1,120.28,121.88,32586673
2017-01-26,121.67,122.44,121.6,121.94,26337576
2017-01-27,122.14,122.35,121.6,121.95,20562944
2017-01-30,120.93,121.63,120.66,121.63,30377503
2017-01-31,121.15,121.39,120.62,121.35,49200993
2017-02-01,127.03,130.49,127.01,128.75,111985040
2017-02-02,127.98,129.39,127.78,128.53,33710411
2017-02-03,128.31,129.19,128.16,129.08,24507301
2017-02-06,129.13,130.5,128.9,130.29,26845924
2017-02-07,130.54,132.09,130.45,131.53,38183841
2017-02-08,131.35,132.22,131.22,132.04,23004072
2017-02-09,131.65,132.45,131.12,132.42,28349859
2017-02-10,132.46,132.94,132.05,132.12,20065458
2017-02-13,133.08,133.82,132.75,133.29,23035421
2017-02-14,133.47,135.09,133.25,135.02,33226223
2017-02-15,135.52,136.27,134.62,135.51,35623100
2017-02-16,135.67,135.9,134.84,135.35,22584555
2017-02-17,135.1,135.83,135.1,135.72,22198197
2017-02-21,136.23,136.75,135.98,136.7,24507156
2017-02-22,136.43,137.12,136.11,137.11,20836932
2017-02-23,137.38,137.48,136.3,136.53,20788186
2017-02-24,135.91,136.66,135.28,136.66,21776585
2017-02-27,137.14,137.44,136.28,136.93,20257426
2017-02-28,137.08,137.44,136.7,136.99,23482860
2017-03-01,137.89,140.15,137.6,139.79,36414585
2017-03-02,140.0,140.28,138.76,138.96,26210984
2017-03-03,138.78,139.83,138.59,139.78,21571121
2017-03-06,139.37,139.77,138.6,139.34,21750044
2017-03-07,139.06,139.98,138.79,139.52,17446297
2017-03-08,138.95,139.8,138.82,139.0,18707236
2017-03-09,138.74,138.79,137.05,138.68,22155904
2017-03-10,139.25,139.36,138.64,139.14,19612801
2017-03-13,138.85,139.43,138.82,139.2,17421717
2017-03-14,139.3,139.65,138.84,138.99,15309065
2017-03-15,139.41,140.75,139.03,140.46,25691774
2017-03-16,140.72,141.02,140.26,140.69,19231998
2017-03-17,141.0,141.0,139.89,139.99,43884952
2017-03-20,140.4,141.5,140.23,141.46,21542038
2017-03-21,142.11,142.8,139.73,139.84,39529912
2017-03-22,139.85,141.6,139.76,141.42,25860165
2017-03-23,141.26,141.58,140.61,140.92,20346301
2017-03-24,141.5,141.74,140.35,140.64,22395563
2017-03-27,139.39,141.22,138.62,140.88,23575094
2017-03-28,140.91,144.04,140.62,143.8,33374805
2017-03-29,143.68,144.49,143.19,144.12,29189955
2017-03-30,144.19,144.5,143.5,143.93,21207252
2017-03-31,143.72,144.27,143.01,143.66,19661651
2017-04-03,143.71,144.12,143.05,143.7,19985714
2017-04-04,143.25,144.89,143.17,144.77,19891354
2017-04-05,144.22,145.46,143.81,144.02,27717854
2017-04-06,144.29,144.52,143.45,143.66,21149034
2017-04-07,143.73,144.18,143.27,143.34,16672198
2017-04-10,143.6,143.88,142.9,143.17,18933397
2017-04-11,142.94,143.35,140.06,141.63,30379376
2017-04-12,141.6,142.15,141.01,141.8,20350000
2017-04-13,141.91,142.38,141.05,141.05,17822880
2017-04-17,141.48,141.88,140.87,141.83,16582094
2017-04-18,141.41,142.04,141.11,141.2,14697544
2017-04-19,141.88,142.0,140.45,140.68,17328375
2017-04-20,141.22,142.92,141.16,142.44,23319562
2017-04-21,142.44,142.68,141.85,142.27,17320928
2017-04-24,143.5,143.95,143.18,143.64,17134333
2017-04-25,143.91,144.9,143.87,144.53,18871501
2017-04-26,144.47,144.6,143.38,143.68,20041241
2017-04-27,143.92,144.16,143.31,143.79,14246347
2017-04-28,144.09,144.3,143.27,143.65,20860358
2017-05-01,145.1,147.2,144.96,146.58,33602943
2017-05-02,147.54,148.09,146.84,147.51,45352194
2017-05-03,145.59,147.49,144.27,147.06,45697034
2017-05-04,146.52,147.14,145.81,146.53,23371872
2017-05-05,146.76,148.98,146.76,148.96,27327725
2017-05-08,149.03,153.7,149.03,153.01,48752413
2017-05-09,153.87,154.88,153.45,153.99,39130363
2017-05-10,153.63,153.94,152.11,153.26,25805692
2017-05-11,152.45,154.07,152.31,153.95,27255058
2017-05-12,154.7,156.42,154.67,156.1,32527017
2017-05-15,156.01,156.65,155.05,155.7,26009719
2017-05-16,155.94,156.06,154.72,155.47,20048478
2017-05-17,153.6,154.57,149.71,150.25,50767678
2017-05-18,151.27,153.34,151.13,152.54,33568215
2017-05-19,153.38,153.98,152.63,153.06,26960788
2017-05-22,154.0,154.58,152.91,153.99,22966437
2017-05-23,154.9,154.9,153.31,153.8,19918871
2017-05-24,153.84,154.17,152.67,153.34,19219154
